marioupol	russie	90
armsexport	coarm	366
johnsonout52	putinwarcriminal	2
johnsonout52	putin	2
johnsonout52	ukraineunderattack	2
johnsonout52	ukrainerussiawar	4
putinwarcriminal	ukraineunderattack	88
putin	ukraineunderattack	100
azov	ukraina	18
closetheskyoverukraine	russianukrainianwar	4
bundestag	usa	18
germany	russia	336
closetheskyoverukraine	ukraineunderattack	8
goprussianassets	tbt	46
belarus	ukrainian	8
belarus	belarusian	26
belarus	putin	52
belarusian	putin	6
syria	ukrainewar	8
syria	ukrainerussiawar	8
stoprussia	syria	4
stoprussia	ukrainewar	70
freeukraine	weareallukrainians	1502
freeukraine	stopwar	1498
freeukraine	supportukraine	86
standwithukraine	weareallukrainians	1502
stopthewar	weareallukrainians	1496
stopwar	weareallukrainians	1488
ukraine	weareallukrainians	94
supportukraine	weareallukrainians	82
standwithukraine	supportukraine	124
stopthewar	stopwar	1524
stopthewar	supportukraine	82
stopwar	supportukraine	90
russiaukrainewar	stoprussia	48
nato	ukrainecrisis	118
putin	ukrainecrisis	124
mariupol	putinswar	12
nato	polish	4
poland	ukrainian	12
ukraineinvasion	ukrainewar	26
russianarmy	ukraine	124
rusia	usa	40
eeuu	rusia	150
eeuu	russia	36
rusia	russia	108
nft	russia	12
nft	russiaukrainewar	2
russia	stoprussia	104
bitcoin	btc	34
ukraine	uzbekistan	104
standwithukraine	war	40
kyiv	war	66
nato	ukrainewar	48
eu	ukrainewar	12
kharkiv	rusia	46
putinswar	russian	56
putinswar	standwithukraine	68
putinswar	russianukrainianwar	34
guerra	kharkiv	16
anonymous	russia	138
nowar	russia	36
un	us	114
kyiv	russiaukrainewar	62
nato	ukrainekrieg	44
guerra	rusia	96
donetsk	ukraina	10
azov	donbass	8
azov	donetsk	8
kiev	ukrainian	24
kiev	nato	22
dimaio	ukraina	278
germany	ukraine	118
standwithukraine	zelensky	70
ukraine	warinukraine	92
standwithukraine	warinukraine	16
romania	uk	44
breaking	russia	196
kremlin	russia	114
kremlin	ukraine	90
belarusian	russia	10
poland	polish	10
russia	russland	32
donbass	mariupol	24
belarus	ukrainewar	12
poland	russian	24
kiev	ukrainerussiawar	88
poutine	usa	18
china	icj	4
nft	ukraine	180
ukraine	zakharova	14
giveaway	nft	1272
kiev	ukrainewar	50
moscow	ukraineinvasion	2
ido	whitelist	990
ido	nft	1804
nft	whitelist	986
standwithukraine	stpatricksday	118
flagnetwork	ido	822
cryptocurrency	flagnetwork	814
bitcoin	flagnetwork	812
flagnetwork	nft	804
cryptocurrency	ido	828
bitcoin	ido	828
bitcoin	cryptocurrency	910
cryptocurrency	nft	814
bitcoin	nft	818
france	russia	70
german	russia	14
france	nato	10
german	nato	312
france	german	4
stpatricksday	ukrainerussiawar	14
standwithukraine	stoprussia	518
stoprussianaggression	ukraine	38
russiaukrainewar	stoprussianaggression	10
russianukrainianwar	stoprussia	22
russianukrainianwar	stoprussianaggression	6
stoprussia	stoprussianaggression	42
slavaukraini	ukrainerussiawar	60
mariupol	war	32
goprussianassets	ukrainerussiawar	4
stopputin	ukrainewar	44
stopputin	zelensky	66
slavaukraini	stoprussia	14
german	germany	14
german	standwithukraine	2
germany	standwithukraine	4
putin	stopputin	56
russland	stopputin	6
stopputinnow	ukraine	98
guerra	putin	48
putinwarcriminal	ukraina	22
putinhitler	ukraine	236
putinhitler	standwithukraine	348
putinhitler	ukrainerussiawar	32
putin	stoprussia	36
putinhitler	stoprussia	16
moscow	standwithukraine	8
anonymous	supportukraine	4
dimaio	ukrainerussiawar	6
dimaio	ue	2
ue	ukrainerussiawar	2
ukraine	ukrainekrieg	144
istandwithukraine	ukraine	76
ukrainekrieg	ukrainewar	62
ukrainekrieg	ukrainerussiawar	58
istandwithukraine	ukrainekrieg	36
istandwithukraine	ukrainewar	40
istandwithukraine	ukrainerussiawar	56
closeuaskynow	stoprussianaggression	2
closetheskyoverukraine	stoprussia	530
closetheskyoverukraine	russiaukrainewar	2
foxnews	morningjoe	2
morningjoe	zelensky	4
foxnews	zelensky	6
china	india	88
putinwarcriminal	stoprussia	136
stoprussia	stopwarinukraine	128
putinwarcriminal	stopwarinukraine	104
standwithukraine	stopwarinukraine	100
deepfake	standwithukraine	4
putinhitler	stopputin	24
putinwarcrimes	putinwarcriminal	54
nowar	stopputinnow	54
nowar	weareallukrainians	2
standwithukraine	stopputinnow	138
stopputinnow	weareallukrainians	6
freeukraine	stopputinnow	8
nato	zelensky	146
biden	uk	6
putin	uk	24
foxnews	kiev	6
kyiv	putin	114
foxnews	kyiv	4
russian	sumy	8
mariupol	sumy	176
kyiv	ukrainerussiawar	128
sumy	ukrainerussiawar	60
russia	sumy	6
kyiv	sumy	178
us	usa	22
eu	us	58
eeuu	putin	34
ukrainerussiawar	zakharova	2
putin	zakharova	2
putinwarcriminal	zakharova	2
putinswar	putinwarcriminal	66
nowar	putinwarcriminal	16
nowar	putinswar	2
putin	syria	66
ireland	ukraine	104
eeuu	ukraina	64
germany	putin	22
nato	ue	26
nowar	stoprussia	36
nowar	ukrainewar	24
stopputinnow	ukrainewar	30
france	germany	76
odesa	ukraine	248
odesa	ukrainewar	4
belarusian	russian	30
covid19	zelensky	72
johnsonout52	putinwarcrimes	10
johnsonout52	slavaukraini	26
putinwarcrimes	slavaukraini	10
myanmar	us	38
myanmar	russia	48
guerra	zelensky	16
peace	standwithukraine	50
standwithukraine	sumy	172
odesa	standwithukraine	172
melitopol	standwithukraine	172
kharkiv	sumy	174
kharkiv	odesa	178
kharkiv	melitopol	174
kharkiv	mykolaiv	172
kyiv	odesa	178
kyiv	melitopol	180
kyiv	mykolaiv	172
mariupol	odesa	178
mariupol	melitopol	172
mariupol	mykolaiv	172
odesa	sumy	172
melitopol	sumy	172
mykolaiv	sumy	172
melitopol	odesa	172
mykolaiv	odesa	172
melitopol	mykolaiv	172
standwithukraine	ukrainian	40
putin	trump	160
russia	syria	108
eu	moldova	18
tigrayfamine	tigraygenocide	1369
istandwithukraine	stopwar	2
istandwithukraine	stopputin	6
cryptocurrency	ukrainewar	14
putinwarcriminal	ukrainian	10
tigrayfamine	un	22
moscow	stopwarinukraine	2
russia	russiainvadedukraine	70
icj	russiaukrainewar	6
putinwarcriminal	ukrainewar	32
istandwithukraine	russia	20
istandwithukraine	putin	10
freeukraine	russia	28
freeukraine	war	6
ukrainian	war	18
freeukraine	ukrainerussiawar	26
freeukraine	ukrainian	18
freeukraine	ukraineunderattack	26
rusia	zelensky	12
breaking	kyiv	14
breaking	ukrainewar	24
russianukrainianwar	uae	2
ukraine	ukraineinvasion	84
china	russiaukrainewar	8
peace	ukrainerussiawar	18
nowar	peace	66
ukrainecrisis	ukrainian	18
russiaukrainewar	ukrainian	44
kiev	russiaukrainewar	42
russian	ukraina	70
russianukrainianwar	ukraina	30
breaking	ukraina	24
breaking	russianukrainianwar	6
refugees	romania	14
refugees	ukrainerussiawar	18
romania	ukrainerussiawar	32
chernihiv	donbass	4
europe	kyiv	22
closetheskyoverukraine	putinwarcriminal	16
ukrainerussiawar	warcrimes	74
nato	war	52
stopwarinukraine	ukrainerussiawar	16
biden	nato	74
ukrainekrieg	zelensky	40
mykolaiv	war	4
mykolaiv	ukrainerussiawar	68
boycottnestle	warinukraine	36
putin	stopwar	24
kherson	ukrainerussiawar	14
syria	ukraine	88
odessa	russia	76
kyiv	odessa	78
kharkiv	odessa	54
biden	ukrainerussiawar	88
nowar	putinwarcrimes	2
biden	us	46
istandwithukraine	zelensky	58
nft	ukrainian	6
putin	ukrainekrieg	54
anonymous	stopputinnow	8
russia	stopputinnow	26
nato	stopputin	52
kyiv	nato	62
putinswar	putinwarcrimes	22
biden	stoprussia	4
biden	stopputin	2
nestle	ukrainerussiawar	24
kherson	standwithukraine	12
kherson	warinukraine	4
guerra	ukrainerussiawar	8
freeukraine	putin	10
minsk	ukrainekrieg	10
russie	ukrainian	2
russia	stopputin	72
poland	standwithukraine	26
polish	standwithukraine	2
poland	putin	4
polish	putin	2
ukrainian	zelensky	134
nato	russland	22
closetheskyoverukraine	russia	14
closetheskyoverukraine	stopputin	384
putin	stopputinnow	16
putin	putinisawarcriminal	64
putinisawarcriminal	warcrimes	12
putinisawarcriminal	ukrainewar	28
ukrainewar	warcrimes	18
ukrainekrieg	usa	14
russland	ukrainekrieg	44
russland	usa	14
kiev	lviv	64
bitcoin	ukrainerussiawar	66
istandwithukraine	standwithukraine	14
crypto	zelensky	20
ukrainecrisis	zelensky	6
putinswar	ukrainerussiawar	36
china	ukrainerussiawar	24
stopputin	stoprussianaggression	190
eu	refugees	24
putinisawarcriminal	trump	10
peace	stpatricksday	8
freeukraine	stopwarinukraine	4
freeukraine	stopputin	16
ukrainewar	usa	24
istandwithukraine	putinwarcrimes	10
bundestag	nato	4
bundestag	russland	18
russia	stopwar	68
nowar	stopwar	42
stopputinnow	ukraineunderattack	46
kremlin	russie	10
breaking	warinukraine	4
russia	warinukraine	56
poland	war	10
donbass	kiev	22
kiev	news	10
nato	uk	58
moscow	nato	10
uk	usa	78
uk	ukrainian	12
moscow	uk	10
moscow	russian	38
moscow	ukrainian	12
news	war	14
russian	ukraineinvasion	12
biden	ue	24
eu	russian	16
eu	uk	84
israel	russiaukrainewar	80
mariupol	russiaukrainewar	18
covid19	ukrainerussiawar	38
covid19	war	6
nato	poland	54
israel	ukraina	28
israel	nato	12
azov	israel	8
btc	crypto	56
biden	putinisawarcriminal	10
russianukrainianwar	ukraineunderattack	48
russianukrainianwar	russiaukraineconflict	14
russiaukraineconflict	ukraineunderattack	12
putinwarcriminal	russian	44
mariupol	stoprussianaggression	2
breaking	mariupol	52
ukrainewar	zakharova	2
europe	nowar	4
crypto	news	2
btc	news	2
romania	ukraine	198
germany	usa	272
ireland	usa	40
romania	usa	30
germany	ireland	36
eu	germany	48
germany	uk	40
europe	germany	60
germany	romania	30
eu	ireland	38
ireland	uk	40
europe	ireland	36
ireland	romania	30
france	ireland	32
ireland	russia	40
eu	romania	32
eu	france	38
europe	uk	36
france	uk	38
europe	romania	30
europe	france	48
france	romania	30
romania	russia	52
putinisawarcriminal	russian	14
russia	ukrainekrieg	12
ukrainekrieg	ukraineunderattack	18
moscow	putin	30
putin	us	34
kremlin	un	16
kiev	poutine	12
poutine	russie	126
stoprussianaggression	stopwar	38
